Nombre,Naturaleza,Id,Tipo,Dirección,Localidad,Provincia,Código_Postal,FAX,Teléfono,Email,Web
Alto de los Molinos,Público,[02000556],Instituto de Educación Secundaria,"Cl. Arado, 53",Albacete,(Albacete),CP :02006,967231720,967231453,02000556.ies@edu.jccm.es,
Amparo Sanz,Público,[02003481],Instituto de Educación Secundaria,"Cl. Tomas Edison, S/N",Albacete,(Albacete),CP :02001,967665501,967665500,02003481.ies@edu.jccm.es,http://ies-amparosanz.centros.castillalamancha.es
Ana Soto,Público,[02000878],Colegio de Educación Infantil y Primaria,"Av. del Teatro, 1",Albacete,(Albacete),CP :02005,967210226,967210502,02000878.cp@edu.jccm.es,http://www.colegioanasoto.es
Andrés de Vandelvira,Público,[02000738],Instituto de Educación Secundaria,"Av. Cronista Mateo y Sotos, S/N",Albacete,(Albacete),CP :02006,967523423,967210311,02000738.ies@edu.jccm.es,http://edu.jccm.es/ies.andresdevandelvira
Antonio Machado,Público,[02000805],Colegio de Educación Infantil y Primaria,"Cl. Duque de Rivas, 2",Albacete,(Albacete),CP :02006,967244395,967244395,02000805.cp@edu.jccm.es,http://ceip-antoniomachadoalbacete.centros.castillalamancha.es
Aristos,Priv.Concert.,[02000374],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Obispo Tagaste, 23",Albacete,(Albacete),CP :02005,967240503,967240503,info@colegioaristos.es,
Asefab-Clm,Privado,[02010288],Centro Privado Autorizado de Enseñanzas Deportivas,"Cl. Doctor García Reyes, 9",Albacete,(Albacete),CP :02002,,615857850,jcastellanosgarrido@yahoo.es,
Azorín,Priv.Concert.,[02000568],Centro Privado de Educación Infantil y Primaria,"Ps. de Circunvalacion, 105",Albacete,(Albacete),CP :02003,967237713,967237713,ccazorin@gmail.com,
Bachiller Sabuco,Público,[02000714],Instituto de Educación Secundaria,"Av. España, 5",Albacete,(Albacete),CP :02002,967506626,967229540,02000714.ies@edu.jccm.es,
Balu,Privado,[02009638],Centro Privado de Educación Infantil,"Cl. Melilla, 4",Albacete,(Albacete),CP :02001,967211555,967214062,,
Barrio del Ensanche,Público,[02005086],Escuela de Educación Infantil,"Cl. Arquitecto Vandelvira, 73",Albacete,(Albacete),CP :02004,,967222632,einfantil.ensanche@ayto_albacete.es,
Base Aérea,Público,[02009641],Escuela de Educación Infantil,"Cr. de Murcia, S/N",Albacete,(Albacete),CP :02006,967556352,967556271,,
Benjamín Palencia,Público,[02000842],Colegio de Educación Infantil y Primaria,"Cl. Mejico, 8",Albacete,(Albacete),CP :02006,967511730,967225665,02000842.cp@edu.jccm.es,http://ceip-benjaminpalenciaalbacete.centros.castillalamancha.es
Bernardino del Campo,Público,[02004331],Instituto de Educación Secundaria,"Cl. Huerta de Marzo, S/N",Albacete,(Albacete),CP :02002,967524179,967522262,02004331.ies@edu.jccm.es,http://ies-bernardinodelcampo.centros.castillalamancha.es/
Blabla,Privado,[02009651],Centro Privado de Educación Infantil,"Cl. Hermanos Pinzon, 41",Albacete,(Albacete),CP :02006,,,,
Carlos V,Público,[02000040],Colegio de Educación Infantil y Primaria,"Cl. Ejidos Feria, S/N",Albacete,(Albacete),CP :02006,967224745,967224745,02000040.cp@edu.jccm.es,http://ceip-carlosv.centros.castillalamancha.es/
Carrusel,Privado,[02009663],Centro Privado de Educación Infantil,"Cl. Derecho, 33",Albacete,(Albacete),CP :02006,,967509050,,
Castilla-La Mancha,Público,[02000830],Colegio de Educación Infantil y Primaria,"Cm. de Morata, 3-A",Albacete,(Albacete),CP :02006,967231329,967231329,02000830.cp@edu.jccm.es,http://edu.jccm.es/cp/cm
Cedes,Privado,[02004598],Centro Privado de Educación Infantil Primaria y Secundaria,"Cr. de Peñas, 11",Albacete,(Albacete),CP :02006,967511437,967220915,colegiocedes@colegiocedes.com,http://www.colegiocedes.com
Centro de Formación Profesional Sanitario,Privado,[02004963],Centro Privado de Formación Profesional Específica,"Cl. Hermanos Jimenez, S/N",Albacete,(Albacete),CP :02004,967600858,967238657,mariaeugeniacamino@hotmail.com,
Centro Penitenciario,Público,[02005232],Aula de Educación de Adultos,"Cr. de Ayora, Km. 72 (Centro Penitenciario)",Albacete,(Albacete),CP :02071,,967244272,aepa_albacete@edu.jccm.es,
Cervantes,Público,[02000064],Colegio de Educación Infantil y Primaria,"Cl. Santa Quiteria, 37",Albacete,(Albacete),CP :02002,967246480,967213313,02000064.cp@edu.jccm.es,
Chiquiticos,Privado,[02009687],Centro Privado de Educación Infantil,"Cl. Maria de Zayas, 3 Bajo",Albacete,(Albacete),CP :02006,,,,
Ciclo Formativo Tecnico Superior Higienista Bucodental y Clinica Dental,Privado,[02010227],Centro Privado de Formación Profesional Específica,"Av. Primero de Mayo, 1",Albacete,(Albacete),CP :02006,,967102827,infoalbacete@campusdental.es,
Colegio la Enseñanza Albacete,Privado,[02000428],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Marqués de Villores,35",Albacete,(Albacete),CP :02003,967228805,967224650,juliandirector@telefonica.net,
Cristóbal Colón,Público,[02000052],Colegio de Educación Infantil y Primaria,"Cm. de la Virgen, 30",Albacete,(Albacete),CP :02005,967223640,967223640,02000052.cp@edu.jccm.es,http://ceip-cristobalcolonab.centros.castillalamancha.es
Cristóbal Valera,Público,[02000076],Colegio de Educación Infantil y Primaria,"Cl. Zapateros, 26",Albacete,(Albacete),CP :02005,967670673,967212162,02000076.cp@edu.jccm.es,http://edu.jccm.es/cp/cristobalvalera
Cuento Encantado,Privado,[02010291],Centro Privado de Educación Infantil,"Cl. Simone de Beauvoir, 7 Bajo",Albacete,(Albacete),CP :02005,,,,
Damián Gómez Alfaro,Privado,[02010094],Centro Privado de Formación Profesional Específica,"Cl. Luis Rosales, 7",Albacete,(Albacete),CP :02003,,,,
Diego de Siloé,Público,[02004008],Instituto de Educación Secundaria,"Cl. Mejico, S/N",Albacete,(Albacete),CP :02006,967500264,967500204,02004008.ies@edu.jccm.es,http://ies-diegodesiloe.centros.castillalamancha.es
Diego Velázquez,Público,[02000088],Colegio de Educación Infantil y Primaria,"Av. Arquitecto Julio Carrilero, 18",Albacete,(Albacete),CP :02005,967550106,967225330,02000088.CP@EDU.JCCM.ES,http://ceip-diegovelazquez.centros.castillalamancha.es
Diocesano,Priv.Concert.,[02000301],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Alcalde Conangla, 29",Albacete,(Albacete),CP :02002,967215939,967243280,colegio@diocesano.es,http://www.diocesano.es/
Doctor Fleming,Público,[02000091],Colegio de Educación Infantil y Primaria,"Cl. Doctor Fleming, 2",Albacete,(Albacete),CP :02004,967227025,967227025,02000091.cp@edu.jccm.es,http://ceip-doctorfleming.centros.castillalamancha.es
Don Bosco,Público,[02000741],Instituto de Educación Secundaria,"Ps. de la Cuba, 43",Albacete,(Albacete),CP :02006,967216192,967215405,02000741.ies@edu.jccm.es,http://edu.jccm.es/ies.donbosco
El Ave María,Priv.Concert.,[02000404],Centro Privado de Educación Infantil Primaria y Secundaria,"Pz. del Ave Maria, S/N",Albacete,(Albacete),CP :02006,967244360,967242704,colegio.el.ave.maria.ab@gmail.com,
El Pilar,Público,[02008981],Escuela de Educación Infantil,"Cl. Churruca, 12",Albacete,(Albacete),CP :02006,967506737,967506741,02008981.ei@edu.jccm.es,
El Tren Azul,Público,[02008993],Escuela de Educación Infantil,"Pj. Francisco Jareño, S/N",Albacete,(Albacete),CP :02006,967211207,967213361,02008993.ei@edu.jccm.es,
Eloy Camino,Público,[02003569],Centro de Educación Especial,"Cl. Jesus del Gran Poder, 3",Albacete,(Albacete),CP :02006,967214195,967214711,02003569.cee@edu.jccm.es,http://cee-eloycamino.centros.castillalamancha.es
Escuela de Cuchillería de Albacete Amos Núñez,Priv.Concert.,[02010100],Centro Privado de Formación Profesional Específica,"Av. Gregorio Arcos, 42",Albacete,(Albacete),CP :02007,967193710,967193700,escuela@escueladecuchilleria.com,http://con-escueladecuchilleria.centros.castillalamancha.es
Escuela de Fútbol Internacional Fairplay S.L.,Privado,[02010215],Centro Privado Autorizado de Enseñanzas Deportivas,"Cl. Marqués de Molins, 2, 3º Izda",Albacete,(Albacete),CP :02001,,,,
Escuela Municipal de Música Moderna de Albacete,Público,[02007824],Escuela Pública de Música y Danza,"Av. del Teatro, S/N",Albacete,(Albacete),CP :02006,,,,
Escuela Territorial de Técnicos y Técnicos Superiores Deportivos de Fútbol y Fútbol Sala,Privado,[02008831],Centro Privado Autorizado de Enseñanzas Deportivas,"Cl. Flora Tristan, 5",Albacete,(Albacete),CP :02006,,,,
Escuelas Pías,Priv.Concert.,[02000431],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. San Jose de Calasanz, 7",Albacete,(Albacete),CP :02002,967666081,967666080,direccion@escolapiosalbacete.org,http://ww.albacete.escolapios.es
Europa Fashion,Privado,[02007745],Centro Privado de Formación Profesional Específica,"Cl. Mariana Pineda, 6",Albacete,(Albacete),CP :02005,967213260,967666667,europafashion2000@hotmail.com,http://www.europafashion.es
Federico García Lorca,Público,[02004941],Instituto de Educación Secundaria,"Cl. Pintor Quijada, 1",Albacete,(Albacete),CP :02006,967550099,967505130,02004941.ies@edu.jccm.es,http://ies-garcialorca.centros.castillalamancha.es/
Federico Mayor Zaragoza,Público,[02000854],Colegio de Educación Infantil y Primaria,"Cl. Carmen Ibañez, 7",Albacete,(Albacete),CP :02001,967212521,967212521,02000854.cp@edu.jccm.es,http://edu.jccm.es/cp.fmz
Feria-Isabel Bonal,Público,[02004409],Colegio de Educación Infantil y Primaria,"Av. Arquitecto Julio Carrilero, 56",Albacete,(Albacete),CP :02006,967510497,967232402,02004409.cp@edu.jccm.es,http://edu.jccm.es/cp.feria-isabelbonal
Francisco Giner de los Ríos,Público,[02008816],Colegio de Educación Infantil y Primaria,"Av. de la Mancha, S/N",Albacete,(Albacete),CP :02006,967243097,967242980,02008816.cp@edu.jccm.es,http://ceip-franciscoginerdelosrios.centros.castillalamancha.es
Galafates,Privado,[02009699],Centro Privado de Educación Infantil,"Av. Primero de Mayo, 18",Albacete,(Albacete),CP :02006,,,galafates@galafates.com,
Gloria Fuertes,Público,[02007769],Colegio de Educación Infantil y Primaria,"Cl. Badajoz, S/N",Albacete,(Albacete),CP :02006,967616090,967616090,02007769.cp@edu.jccm.es,http://edu.jccm.es/cp/gfuertes
Hermanos Falcó,Público,[02005062],Escuela de Educación Infantil,"Cl. Jose de Espronceda, S/N",Albacete,(Albacete),CP :02006,,967596100,einfantilhermanosfalco@ayto-albacete.es,
Inmaculada Concepción,Público,[02000118],Colegio de Educación Infantil y Primaria,"Cl. Maria Marin, 20",Albacete,(Albacete),CP :02003,967232346,967232346,02000118.cp@edu.jccm.es,http://ceip-iconcepcion.centros.castillalamancha.es
José Antonio Ruiz,Público,[02007800],Conservatorio Profesional de Danza,"Av. de la Mancha, Nº 5",Albacete,(Albacete),CP :02005,967246129,967192662,02007800.cd@edu.jccm.es,http://edu.jccm.es/cd/albacete
José María Pemán,Priv.Concert.,[02000441],Centro Privado de Educación Infantil y Primaria,"Cl. Doctor Ferran, 80",Albacete,(Albacete),CP :02004,967234267,967234267,colegiopeman@hotmail.com,
José Prat García,Público,[02004112],Colegio de Educación Infantil y Primaria,"Cl. Fatima, 44",Albacete,(Albacete),CP :02004,967237310,967237310,02004112.cp@edu.jccm.es,http://ceip-josepratgarcia.centros.castillalamancha.es
José Salustiano Serna,Público,[02004264],Colegio de Educación Infantil y Primaria,"Av. de la Estacion, 7",Albacete,(Albacete),CP :02001,967210032,967210032,02004264.cp@edu.jccm.es,http://edu.jccm.es/cp/jose_s_serna
La Cometa,Privado,[02007885],Centro Privado de Educación Infantil,"Cl. Juan de Toledo, 16",Albacete,(Albacete),CP :02005,,,eilacometa@gmail.com,
La Escuelita,Privado,[02009705],Centro Privado de Educación Infantil,"Cl. Herreros, 30",Albacete,(Albacete),CP :02001,967661666,967661666,laescuelitaab@hotmail.es,
La Paz,Público,[02007757],Colegio de Educación Infantil y Primaria,"Cl. Francisco Belmonte, 1",Albacete,(Albacete),CP :02006,967219942,967219942,02007757.cp@edu.jccm.es,
Leonardo Da Vinci,Público,[02003892],Instituto de Educación Secundaria,"Cl. la Paz, S/N",Albacete,(Albacete),CP :02006,967502136,967238997,02003892.ies@edu.jccm.es,http://edu.jccm.es/ies/leonardo-da-vinci
Los Almendros,Público,[02009161],Escuela de Educación Infantil,"Cl. Ramon Gomez Redondo, 10",Albacete,(Albacete),CP :02006,,967551339,einfantilramongr@ayto_albacete.es,
Los Girasoles,Público,[02009006],Escuela de Educación Infantil,"Cl. Francisco Javier de Moya, 62",Albacete,(Albacete),CP :02006,967227302,967227902,flopezn@jccm.es,
Los Llanos,Público,[02003673],Centro Público de Educación de Personas Adultas,"Cl. Diego Velazquez, 12",Albacete,(Albacete),CP :02002,967609954,967244272,02003673.cea@edu.jccm.es,http://cepa-losllanos.centros.castillalamancha.es
Los Mundos de Noa,Privado,[02010148],Centro Privado de Educación Infantil,"Av. de la Guardia Civil, 46",Albacete,(Albacete),CP :02002,,,,
Los Olmos,Público,[02000453],Instituto de Educación Secundaria,"Cl. Letur, S/N",Albacete,(Albacete),CP :02006,967193171,967193170,02000453.ies@edu.jccm.es,http://ies-losolmos.centros.castillalamancha.es
Ludus,Privado,[02009729],Centro Privado de Educación Infantil,"Pz. Jesus de Medinaceli, 3",Albacete,(Albacete),CP :02003,,967236106,guarderialudus@hotmail.com,
María de los Llanos Martínez,Público,[02000121],Colegio de Educación Infantil y Primaria,"Cl. Bernabe Cantos, 15",Albacete,(Albacete),CP :02003,967662010,967229827,02000121.cp@edu.jccm.es,http://ceip-mariadelosllanosmartinez.centros.castillalamancha.es
María Inmaculada,Priv.Concert.,[02000465],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Dionisio Guardiola, 22",Albacete,(Albacete),CP :02003,967604111,967604110,secretaria@mariainmaculadaalbacete.es,
Mi Cole,Privado,[02009730],Centro Privado de Educación Infantil,"Cl. Hermanos Pinzon, 18",Albacete,(Albacete),CP :02006,,967505287,,
Mis Primeros Garabatos,Privado,[02009742],Centro Privado de Educación Infantil,"Cl. San Agustin, 30",Albacete,(Albacete),CP :02001,,,,
Mitete,Privado,[02009754],Centro Privado de Educación Infantil,"Cl. Lerida, 18",Albacete,(Albacete),CP :02006,,967101210,mitete@mitete.es,
Mundo de Color,Privado,[02009766],Centro Privado de Educación Infantil,"Cl. Arquitecto Fernandez, 26",Albacete,(Albacete),CP :02005,,967521993,jardindeinfancia@escuelainfantilmundodecolor.es,
Nubes de Algodón,Privado,[02009778],Centro Privado de Educación Infantil,"Cl. Blasco Ibañez, 36",Albacete,(Albacete),CP :02004,,967606717,escuelainfantil@nubesdealgodon.net,
Nuestra Señora de Montserrat,Priv.Concert.,[02000519],Centro Privado de Educación Infantil y Primaria,"Cl. Antonio Cuevas Belmonte, 8, 10 y 12",Albacete,(Albacete),CP :02006,967235289,967235289,ccmontserrat@hotmail.com,
Nuestra Señora del Rosario,Priv.Concert.,[02000544],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Salamanca, 18",Albacete,(Albacete),CP :02001,967523729,967214285,nsrosarioab@fefcoll.org,
Nueva Vereda,Público,[02008750],Escuela de Educación Infantil,"Cl. Alcaraz, 7",Albacete,(Albacete),CP :02071,,967237595,eiinfantilvereda@ayto-albacete.es,
"Nuevo Cervantes, S.C.",Privado,[02009675],Centro Privado de Educación Infantil,"Cl. San Sebastian, S/N",Albacete,(Albacete),CP :02005,,967217572,guardcervantes@terra.es,
Ñacos,Privado,[02009781],Centro Privado de Educación Infantil,"Cl. Melchor de Macanaz, 15",Albacete,(Albacete),CP :02005,,,,
Parque Lineal,Público,[02000763],Instituto de Educación Secundaria,"Ps. de la Cuba, 53",Albacete,(Albacete),CP :02006,967523785,967219112,02000763.ies@edu.jccm.es,http://ies-parquelineal.centros.castillalamancha.es
Parque Sur,Público,[02003879],Colegio de Educación Infantil y Primaria,"Cl. Oliva Sabuco de Nantes, 3",Albacete,(Albacete),CP :02002,967233712,967233712,02003879.cp@edu.jccm.es,http://ceip-parquesur.centros.castillalamancha.es
Paseo de la Cuba,Público,[02009985],Escuela de Educación Infantil,"Cl. Doctor Alonso Vidal, 14",Albacete,(Albacete),CP :02001,,,einfantildoctorav@ayto-albacete.es,
Pedro Simón Abril,Público,[02001007],Colegio de Educación Infantil y Primaria,"Cl. Nueva, S/N",Santa Ana,(Albacete),CP :02328,967270060,967270060,02001007.cp@edu.jccm.es,http://edu.jccm.es/cp/psimonabril
Pedro Simón Abril,Público,[02003764],Colegio de Educación Infantil y Primaria,"Cl. Hermanos Pinzon, 13",Albacete,(Albacete),CP :02006,967239616,967239616,02003764.cp@edu.jccm.es,
Pekeñecos,Privado,[02009717],Centro Privado de Educación Infantil,"Cl. Feria, 43",Albacete,(Albacete),CP :02005,967239095,967044289,escuelapequeñacos@hotmail.com,
Pérez Pastor 90 C.B.,Privado,[02009791],Centro Privado de Educación Infantil,"Cl. Doctor Ferran, 95",Albacete,(Albacete),CP :02004,,,,
Pinar de Salomón,Público,[02008919],Instituto de Educación Secundaria,"Cl. Escuelas, S/N",Aguas Nuevas,(Albacete),CP :02049,967273416,967273874,02008919.ieso@edu.jccm.es,http://ies-pinardesalomon.centros.castillalamancha.es
Primeros Pasitos,Privado,[02009808],Centro Privado de Educación Infantil,"Cl. Arquitecto Vandelvira, 8",Albacete,(Albacete),CP :02003,,967611329,,
Príncipe Felipe,Público,[02000131],Colegio de Educación Infantil y Primaria,"Cl. del Amparo, 3",Albacete,(Albacete),CP :02002,967246290,967243160,02000131.cp@edu.jccm.es,http://ceip-principefelipe.centros.castillalamancha.es
Príncipe Felipe,Público,[02000994],Colegio de Educación Infantil y Primaria,"Cl. los Pozos, S/N",Salobral (El),(Albacete),CP :02140,967271566,967271566,02000994.cp@edu.jccm.es,http://cra-migueldecervantes.centros.castillalamancha.es
Ramón y Cajal,Público,[02004410],Instituto de Educación Secundaria,"Cl. Muñoz Seca, 19",Albacete,(Albacete),CP :02002,967511240,967503511,02004410.ies@edu.jccm.es,http://edu.jccm.es/ies/rycalba
Rayuela,Privado,[02004380],Centro Privado de Educación Infantil,"Pj. Batalla del Salado, 9",Albacete,(Albacete),CP :02002,,967224571,Rayuelac.i@hotmail.com,
Real Conservatorio Profesional de Música y Danza,Público,[02003788],Conservatorio Profesional de Música,"Cl. Monjas, 11",Albacete,(Albacete),CP :02005,967523182,967523182,conservatorio@dipualba.es,
Reina Sofía,Público,[02000143],Colegio de Educación Infantil y Primaria,"Cl. de la Cruz, 20",Albacete,(Albacete),CP :02001,967212702,967212702,02000143.cp@edu.jccm.es,http://edu.jccm.es/cp/reinasofia
San Antón,Público,[02003909],Colegio de Educación Infantil y Primaria,"Cl. Vicente Aleixandre, 3",Albacete,(Albacete),CP :02001,967248455,967214637,02003909.cp@edu.jccm.es,http://ceip-sananton.centros.castillalamancha.es
San Cristóbal,Priv.Concert.,[02000593],Centro Privado de Educación Infantil y Primaria,"Cl. Perez Pastor, 90",Albacete,(Albacete),CP :02004,967226006,967226006,colegiosancristobal1@gmail.com,
San Fernando,Público,[02000155],Colegio de Educación Infantil y Primaria,"Pq. Abelardo Sanchez, S/N",Albacete,(Albacete),CP :02003,967224887,967224887,02000155.cp@edu.jccm.es,
San Francisco Coll,Priv.Concert.,[02000571],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Garcia Mas, 40",Albacete,(Albacete),CP :02005,967220287,967220289,secretaria.albacete@fesd.es,
San Fulgencio,Público,[02000167],Colegio de Educación Infantil y Primaria,"Cl. San Fulgencio, 8",Albacete,(Albacete),CP :02004,967229390,967220334,02000167.cp@edu.jccm.es,
San Isidro Labrador,Público,[02000039],Colegio de Educación Infantil y Primaria,"Cl. Escuelas, 2",Aguas Nuevas,(Albacete),CP :02049,967273056,967273056,02000039.cp@edu.jccm.es,http://ceip-sanisidroaguasnuevas.centros.castillalamancha.es
San Pablo,Público,[02003752],Colegio de Educación Infantil y Primaria,"Cl. Badajoz, S/N",Albacete,(Albacete),CP :02006,967669666,967669666,02003752.cp@edu.jccm.es,http://ceip-sanpabloalbacete.centros.castillalamancha.es
San Pablo,Público,[02005049],Escuela de Educación Infantil,"Cl. Santiago Rusiñol, 69",Albacete,(Albacete),CP :02006,967235753,967235753,escuelainfantil@ono.com,
San Pedro Mortero,Público,[02005074],Escuela de Educación Infantil,"Cl. Ecuador, S/N",Albacete,(Albacete),CP :02006,,967596100,einfantilsanpedro@ayto_albacete.es,
Santo Ángel,Priv.Concert.,[02000787],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Hermanos Jimenez, 31",Albacete,(Albacete),CP :02004,967600071,967600070,02000787.con@edu.jccm.es,http://edu.jccm.es/con/santoangel
Severo Ochoa,Público,[02000106],Colegio de Educación Infantil y Primaria,"Cl. Pedro Coca, 94",Albacete,(Albacete),CP :02003,967509762,967229902,02000106.cp@edu.jccm.es,http://edu.jccm.es/cp/severoochoa
Sonrisas,Privado,[02009811],Centro Privado de Educación Infantil,"Cr. Circunvalacion, 90",Albacete,(Albacete),CP :02006,,967039693,,
Tomás de Torrejón y Velasco,Público,[02004616],Conservatorio Profesional de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967212006,967523340,02004616.cm@edu.jccm.es,http://edu.jccm.es/cm/torrejon_y_velasco
Tomás Navarro Tomás,Público,[02000726],Instituto de Educación Secundaria,"Av. España, 40",Albacete,(Albacete),CP :02006,967220313,967220353,02000726.ies@edu.jccm.es,http://ies-tomasnavarrotomas.centros.castillalamancha.es
Trazos,Privado,[02009821],Centro Privado de Educación Infantil,"Cl. Iris, 34",Albacete,(Albacete),CP :02005,,967522322,,
Tulgarita,Privado,[02009833],Centro Privado de Educación Infantil,"Cl. Marzo, 7",Albacete,(Albacete),CP :02002,,,,
Universidad Laboral,Público,[02000799],Instituto de Educación Secundaria,"Av. de la Mancha, S/N",Albacete,(Albacete),CP :02006,967210061,967210561,02000799.ies@edu.jccm.es,http://edu.jccm.es/ies/universidadlaboralab
Villacerrada,Público,[02004021],Colegio de Educación Infantil y Primaria,"Pz. Mayor, 2",Albacete,(Albacete),CP :02001,967523037,967523037,02004021.cp@edu.jccm.es,http://edu.jccm.es/cp/villacerrada
Virgen de los Llanos,Privado,[02003442],Centro Privado de Formación Profesional Específica,"Cl. Nuestra Señora de la Victoria, 4",Albacete,(Albacete),CP :02001,967216362,967213860,academiavirgendelosllanos@gmail.com,
Virgen de los Llanos,Público,[02000180],Colegio de Educación Infantil y Primaria,"Cl. del Amparo, 14",Albacete,(Albacete),CP :02002,967245087,967243484,02000180.cp@edu.jccm.es,http://ceip-virgendelosllanos.centros.castillalamancha.es
Virgen de los Llanos,Público,[02009018],Escuela de Educación Infantil,"Cl. San Pedro, 21",Albacete,(Albacete),CP :02006,967211770,967211770,02009018.ei@edu.jccm.es,
- Sin Denominación -,Público,[02009055],Escuela de Educación Infantil,"Cr. Madrid, 21",Albatana,(Albacete),CP :02653,,967324297,albatana.alc@dipualba.es,
Laguna de Alboraj,Público,[02004537],Colegio Rural Agrupado,"Cl. Aire, 2",Albatana,(Albacete),CP :02653,967323263,967323263,02004537.cra@edu.jccm.es,http://cra-lagunadealboraj.centros.castillalamancha.es
El Molino,Público,[02009845],Escuela de Educación Infantil,"Cr. Casas de Ves, S/N",Alborea,(Albacete),CP :02215,,967477315,albore@dipualba.es,
La Manchuela,Público,[02004549],Colegio Rural Agrupado,"Cl. Casas Ibañez, 42",Alborea,(Albacete),CP :02215,967477242,967477242,02004549.cra@edu.jccm.es,http://edu.jccm.es/cra/lamanchuela
- Sin Denominación -,Público,[02009067],Escuela de Educación Infantil,"Cl. Olmeda, S/N",Alcala del Jucar,(Albacete),CP :02210,,967473323,,
Ribera del Júcar,Público,[02004483],Colegio Rural Agrupado,"Cj. de la Virgen, 12",Alcala del Jucar,(Albacete),CP :02210,967473043,967473043,02004483.cra@edu.jccm.es,http://edu.jccm.es/cra.riberadeljucar
- Sin Denominación -,Público,[02004902],Aula de Educación de Adultos,"Cl. los Arcos, S/N",Alcaraz,(Albacete),CP :02300,967380400,967380729,02003880.cea@edu.jccm.es,
- Sin Denominación -,Público,[02009079],Escuela de Educación Infantil,"Cl. Maestro Santiago Garrido, S/N",Alcaraz,(Albacete),CP :02300,,967380002,alcaraz@dipualba.es,
Nuestra Señora de Cortes,Público,[02001111],Colegio de Educación Infantil y Primaria,"Cr. de Riopar, 11",Alcaraz,(Albacete),CP :02300,967380360,967380129,02001111.cp@edu.jccm.es,http://ceip-ntrasradecortes.centros.castillalamancha.es
Pedro Simón Abril,Público,[02004082],Instituto de Educación Secundaria,"Ps. de San Francisco, 89",Alcaraz,(Albacete),CP :02300,967380571,967380730,02004082.ies@edu.jccm.es,http://edu.jccm.es/ies/simonabril
Asprona,Priv.Concert.,[02001135],Centro Privado de Educación Especial,"Av. Jose Rodriguez, 28",Almansa,(Albacete),CP :02640,967342600,618681422,02001135.con@edu.jccm.es,
Castillo de Almansa,Público,[02003685],Centro Público de Educación de Personas Adultas,"Cl. Arcipreste de Hita, 1",Almansa,(Albacete),CP :02640,967318866,967344634,02003685.cea@edu.jccm.es,http://edu.jccm.es/cepa/almansa
