Code,Name,Email
28064123,"EEI ""casiopea""",eei.casiopea.getafe@educa.madrid.org
28044203,"EEI ""charlie rivel""",eei.charlierivel.coslada@educa.madrid.org
28043508,"EEI ""chavalitos""",eei.chavalitos.madrid@educa.madrid.org
28070664,"EEI ""cielo azul""",eei.cieloazul.madrid@educa.madrid.org
28068050,"EEI ""cinco lobitos""",eei.cincolobitos.madrid@educa.madrid.org
28043909,"EEI ""colores""",eei.colores.mostoles@educa.madrid.org
28047587,"EEI ""colorin colorado""",eei.colorincolorado.madrid@educa.madrid.org
28058202,"EEI ""cuentacuentos""",eei.cuentacuentos.colladovillalba@educa.madrid.org
28044215,"EEI ""diamela""",eei.diamela.coslada@educa.madrid.org
28067860,"EEI ""don meliton""",eei.donmeliton.alcala@educa.madrid.org
28072338,"EEI ""don pimpon""",eei.donpimpon.galapagar@educa.madrid.org
28072028,"EEI ""doña francisquita""",eei.donafrancisquita.madrid@educa.madrid.org
28061687,"EEI ""dulcinea""",eei.dulcinea.leganes@educa.madrid.org
28047472,"EEI ""el alba""",eei.elalba.madrid@educa.madrid.org
28068232,"EEI ""el almendro""",eei.elalmendro.colmenarviejo@educa.madrid.org
28070263,"EEI ""el arlequin""",eei.elarlequin.rivas@educa.madrid.org
28072065,"EEI ""el barberillo de lavapies""",eei.elbarberillodelavapies.madrid@educa.madrid.org
28071851,"EEI ""el bateo""",eei.elbateo.madrid@educa.madrid.org
28043466,"EEI ""el belen""",eei.elbelen.madrid@educa.madrid.org
28070937,"EEI ""el bonsai""",eei.elbonsai.fuenlabrada@educa.madrid.org
28064299,"EEI ""el bosque""",eei.elbosque.humanes@educa.madrid.org
28063076,"EEI ""el bosque""",eei.elbosque.madrid@educa.madrid.org
28043481,"EEI ""el carmen""",eei.elcarmen.madrid@educa.madrid.org
28048142,"EEI ""el cascanueces""",eei.elcascanueces.velilla@educa.madrid.org
28071887,"EEI ""el caserio""",eei.elcaserio.madrid@educa.madrid.org
28068062,"EEI ""el cocherito leré""",eei.elcocheritolere.fuenlabrada@educa.madrid.org
28072387,"EEI ""el columpio""",eei.elcolumpio.mostoles@educa.madrid.org
28070111,"EEI ""el columpio""",eei.elcolumpio.loeches@educa.madrid.org
28067872,"EEI ""el corro de la patata""",eei.elcorrodelapatata.alcorcon@educa.madrid.org
28047538,"EEI ""el cuco""",eei.elcuco.leganes@educa.madrid.org
28046972,"EEI ""el cuquillo""",eei.elcuquillo.alcobendas@educa.madrid.org
28057696,"EEI ""el duende""",eei.elduende.madrid@educa.madrid.org
28043533,"EEI ""el encinar""",eei.elencinar.madrid@educa.madrid.org
28047447,"EEI ""el escondite""",eei.elescondite.fuenlabrada@educa.madrid.org
28048622,"EEI ""el espinillo""",eei.elespinillo.madrid@educa.madrid.org
28064317,"EEI ""el faro""",eei.elfaro.sansebastian@educa.madrid.org
28079023,"EEI ""el fresno""",eei.elfresno.madrid@educa.madrid.org
28073392,"EEI ""el gato con botas""",eei.elgatoconbotas.torrejondeardoz@educa.madrid.org
28047009,"EEI ""el juglar""",eei.eljuglar.mostoles@educa.madrid.org
28043776,"EEI ""el lago""",eei.ellago.fuenlabrada@educa.madrid.org
28068335,"EEI ""el limonero""",eei.ellimonero.parla@educa.madrid.org
28047599,"EEI ""el liron""",eei.elliron.madrid@educa.madrid.org
28043569,"EEI ""el madroñal""",eei.elmadronal.madrid@educa.madrid.org
28078951,"EEI ""el mamut""",eei.elmamut.madrid@educa.madrid.org
28067677,"EEI ""el manantial""",eei.numeroseis-latina.madrid@educa.madrid.org
28068347,"EEI ""el manzano""",eei.elmanzano.parla@educa.madrid.org
28048580,"EEI ""el molino""",eei.elmolino.fuenlabrada@educa.madrid.org
28047022,"EEI ""el naranjo""",eei.elnaranjo.fuenlabrada@educa.madrid.org
28068323,"EEI ""el naranjo""",eei.elnaranjo.parla@educa.madrid.org
28064275,"EEI ""el nogal""",eei.elnogal.alpedrete@educa.madrid.org
28073264,"EEI ""el olivar""",eei.elolivar.madrid@educa.madrid.org
28065334,"EEI ""el olivar""",eei.elolivar.sanmartindevaldeiglesias@educa.madrid.org
28044240,"EEI ""el olivo""",eei.elolivo.trescantos@educa.madrid.org
28043910,"EEI ""el pequeño sauce""",eei.elpequenosauce.mostoles@educa.madrid.org
28043600,"EEI ""el pilar""",eei.elpilar.madrid@educa.madrid.org
28048014,"EEI ""el pocito""",eei.elpocito.pedrezuela@educa.madrid.org
28043821,"EEI ""el prado""",eei.elprado.getafe@educa.madrid.org
28068773,"EEI ""el principito""",eei.elprincipito.algete@educa.madrid.org
28060634,"EEI ""el regajal""",eei.numerodos.aranjuez@educa.madrid.org
28068074,"EEI ""el roble""",eei.elroble.valdemoro@educa.madrid.org
28043806,"EEI ""el rocio""",eei.elrocio.madrid@educa.madrid.org
28048609,"EEI ""el romancero""",eei.elromancero.leganes@educa.madrid.org
28044264,"EEI ""el romeral""",eei.elromeral.trescantos@educa.madrid.org
28073288,"EEI ""el sacapuntas""",eei.elsacapuntas.fuenlabrada@educa.madrid.org
28068049,"EEI ""el señor don gato""",eei.elsenordongato.madrid@educa.madrid.org
28044355,"EEI ""el sol""",eei.elsol.madrid@educa.madrid.org
28043946,"EEI ""el soto""",eei.elsoto.mostoles@educa.madrid.org
28047915,"EEI ""el sur""",eei.elsur.madrid@educa.madrid.org
28044008,"EEI ""el tambor""",eei.eltambor.sanfernando@educa.madrid.org
28043818,"EEI ""el tomillar""",eei.eltomillar.torrelodones@educa.madrid.org
28070354,"EEI ""el trebol""",eei.eltrebol.madrid@educa.madrid.org
28079102,"EEI ""el tren de arganda""",
28068271,"EEI ""el tren de la fresa""",eei.trendelafresa.madrid@educa.madrid.org
28043685,"EEI ""el valle""",eei.elvalle.madrid@educa.madrid.org
28079011,"EEI ""elena fortun""",eei.elenafortun.madrid@educa.madrid.org
28080116,"EEI ""escuela infantil base militar el goloso""",
28080062,"EEI ""escuela infantil delegacion de economia y hacienda""",
28073379,"EEI ""escuelas de san anton""",eei.escuelasdesananton.madrid@educa.madrid.org
28046212,"EEI ""extremadura""",eei.extremadura.madrid@educa.madrid.org
28065358,"EEI ""fabulas y leyendas""",eei.fabulasyleyendas.mostoles@educa.madrid.org
28046081,"EEI ""fantasia""",eei.fantasia.sanmartindelavega@educa.madrid.org
28071942,"EEI ""fernando el catolico""",eei.fernandoelcatolico.madrid@educa.madrid.org
28043855,"EEI ""fortuna""",eei.fortuna.leganes@educa.madrid.org
28072341,"EEI ""fuentelucha""",eei.fuentelucha.alcobendas@educa.madrid.org
28062631,"EEI ""gaia""",eei.gaia.madrid@educa.madrid.org
28047745,"EEI ""galatea""",eei.galatea.alcala@educa.madrid.org
28047629,"EEI ""gallipatos""",eei.gallipatos.fuenlabrada@educa.madrid.org
28071978,"EEI ""gigantes y cabezudos""",eei.gigantesycabezudos.madrid@educa.madrid.org
28048610,"EEI ""gloria fuertes""",eei.gloriafuertes.arganda@educa.madrid.org
28049110,"EEI ""gloria fuertes""",eei.gloriafuertes.soto@educa.madrid.org
28048634,"EEI ""gloria fuertes""",eei.gloriafuertes.alcorcon@educa.madrid.org
28047435,"EEI ""grimm""",eei.grimm.rivas@educa.madrid.org
28047654,"EEI ""hiedra""",eei.hiedra.madrid@educa.madrid.org
28064111,"EEI ""jacaranda""",eei.jacaranda.valdemoro@educa.madrid.org
28044173,"EEI ""jardines de aranjuez""",eei.jardinesdearanjuez.aranjuez@educa.madrid.org
28043843,"EEI ""jeromin""",eei.jeromin.leganes@educa.madrid.org
28043934,"EEI ""joan miro""",eei.joanmiro.mostoles@educa.madrid.org
28072405,"EEI ""juan farias""",eei.juanfarias.villaviciosa@educa.madrid.org
28066193,"EEI ""juan ramon jimenez""",eei.juanramonjimenez.lasrozas@educa.madrid.org
28068360,"EEI ""juan sin miedo""",eei.juansinmiedo.torrejondeardoz@educa.madrid.org
28070342,"EEI ""juana llandres""",eei.juanallandres.sevilla@educa.madrid.org
28074013,"EEI ""koala""",eei.koala.leganes@educa.madrid.org
28058159,"EEI ""la alameda""",eei.numeroocho.fuenlabrada@educa.madrid.org
28063015,"EEI ""la aldea""",eei.laaldea.madrid@educa.madrid.org
28072031,"EEI ""la alegria de la huerta""",eei.laalegriadelahuerta.madrid@educa.madrid.org
28043429,"EEI ""la almudena""",eei.laalmudena.madrid@educa.madrid.org
28078961,"EEI ""la ardilla""",eei.laardilla.madrid@educa.madrid.org
28078973,"EEI ""la bola de cristal""",eei.laboladecristal.madrid@educa.madrid.org
28067689,"EEI ""la brisa""",eei.numerocuatro-tetuan.madrid@educa.madrid.org
28047071,"EEI ""la cabrera""",cn.lacabrera@educa.madrid.org
28048762,"EEI ""la candelaria""",cn.candelaria.ajalvir@educa.madrid.org
28044197,"EEI ""la cañada""",eei.lacanada.coslada@educa.madrid.org
28046935,"EEI ""la cañada de ardoz""",eei.lacanada.torrejondeardoz@educa.madrid.org
28043788,"EEI ""la caracola""",eei.lacaracola.madrid@educa.madrid.org
28046984,"EEI ""la chopera""",eei.lachopera.alcobendas@educa.madrid.org
28071841,"EEI ""la chulapona""",eei.lachulapona.madrid@educa.madrid.org
28070925,"EEI ""la cigarra y la hormiga""",eei.lacigarraylahormiga.torrejondeardoz@educa.madrid.org
28046959,"EEI ""la cigüeña maria""",eei.laciguenamaria.lasrozas@educa.madrid.org
28047484,"EEI ""la colina""",eei.lacolina.madrid@educa.madrid.org
28044033,"EEI ""la comba""",eei.lacomba.sansebastian@educa.madrid.org
28070241,"EEI ""la comba""",eei.lacomba.leganes@educa.madrid.org
28047526,"EEI ""la cometa""",eei.lacometa.alcala@educa.madrid.org
28057431,"EEI ""la cornisa""",eei.lacornisa.madrid@educa.madrid.org
28071954,"EEI ""la corte del faraon""",eei.lacortedelfaraon.madrid@educa.madrid.org
28047541,"EEI ""la dehesa""",eei.ladehesa.elescorial@educa.madrid.org
28072041,"EEI ""la del manojo de rosas""",eei.ladelmanojoderosas.madrid@educa.madrid.org
28071929,"EEI ""la del soto del parral""",eei.ladelsotodelparral.madrid@educa.madrid.org
28065310,"EEI ""la encina""",eei.laencina.pozuelodealarcon@educa.madrid.org
28071152,"EEI ""la espiga""",eei.laespiga.ajalvir@educa.madrid.org
28064287,"EEI ""la flauta magica""",eei.laflautamagica.alcala@educa.madrid.org
28046996,"EEI ""la foresta""",eei.laforesta.trescantos@educa.madrid.org
28072016,"EEI ""la gran via""",eei.lagranvia.madrid@educa.madrid.org
28043557,"EEI ""la jara""",eei.lajara.madrid@educa.madrid.org
28058160,"EEI ""la linterna magica""",eei.lalinternamagica.fuenlabrada@educa.madrid.org
28048579,"EEI ""la locomotora""",eei.lalocomotora.sansebastian@educa.madrid.org
28043791,"EEI ""la luna""",eei.laluna.madrid@educa.madrid.org
28047575,"EEI ""la luna""",eei.laluna.getafe@educa.madrid.org
28071565,"EEI ""la marazuela""",eei.lamarazuela.lasrozas@educa.madrid.org
28079138,"EEI ""la melonera""",eei.lamelonera.madrid@educa.madrid.org
28072077,"EEI ""la mimosa""",eei.lamimosa.fuenlabrada@educa.madrid.org
28047401,"EEI ""la noria""",eei.lanoria.leganes@educa.madrid.org
28071000,"EEI ""la oliva""",eei.laoliva.madrid@educa.madrid.org
28043594,"EEI ""la paloma""",eei.lapaloma.madrid@educa.madrid.org
28044859,"EEI ""la paloma""",eei.municipallapaloma.madrid@educa.madrid.org
28071930,"EEI ""la patria chica""",eei.lapatriachica.madrid@educa.madrid.org
28044227,"EEI ""la piñata""",eei.lapinata.fuenlabrada@educa.madrid.org
28043612,"EEI ""la plazuela""",eei.laplazuela.madrid@educa.madrid.org
28048661,"EEI ""la pradera""",eei.lapradera.madrid@educa.madrid.org
28073586,"EEI ""la princesa""",eei.laprincesa.alcorcon@educa.madrid.org
28047666,"EEI ""la rampa""",eei.larampa.coslada@educa.madrid.org
28071863,"EEI ""la revoltosa""",eei.larevoltosa.madrid@educa.madrid.org
28071966,"EEI ""la rosa del azafran""",eei.larosadelazafran.madrid@educa.madrid.org
28068104,"EEI ""la tarara""",eei.latarara.majadahonda@educa.madrid.org
28047514,"EEI ""la vaca flora """,eei.lavacaflora.colladovillalba@educa.madrid.org
28071917,"EEI ""la verbena de la paloma""",eei.laverbenadelapaloma.madrid@educa.madrid.org
28070640,"EEI ""las amapolas""",eei.lasamapolas.madrid@educa.madrid.org
28059462,"EEI ""las ardillas""",eei.lasardillas.torrelodones@educa.madrid.org
28070998,"EEI ""las azaleas""",eei.lasazaleas.madrid@educa.madrid.org
28070299,"EEI ""las brisas""",eei.lasbrisas.belmonte@educa.madrid.org
28059589,"EEI ""las casitas""",eei.lascasitas.colmenarejo@educa.madrid.org
28072363,"EEI ""las cigüeñas""",eei.lasciguenas.fuenlabrada@educa.madrid.org
28043892,"EEI ""las cigüeñas""",eei.lasciguenas.mejorada@educa.madrid.org
28044045,"EEI ""las cumbres""",eei.lascumbres.sansebastian@educa.madrid.org
28065978,"EEI ""las flores""",eei.lasflores.alcorcon@educa.madrid.org
28073847,"EEI ""las flores de la fortuna""",eei.lasfloresdelafortuna.leganes@educa.madrid.org
28072284,"EEI ""las golondrinas""",eei.lasgolondrinas.grinon@educa.madrid.org
28072053,"EEI ""las leandras""",eei.lasleandras.madrid@educa.madrid.org
28043570,"EEI ""las maravillas""",eei.lasmaravillas.madrid@educa.madrid.org
28070123,"EEI ""las meninas""",eei.lasmeninas.valdemorillo@educa.madrid.org
28070652,"EEI ""las mercedes""",eei.lasmercedes.madrid@educa.madrid.org
28061699,"EEI ""las nubes""",eei.lasnubes.madrid@educa.madrid.org
28078985,"EEI ""las pleyades""",
28061705,"EEI ""las viñas""",eei.lasvinas.madrid@educa.madrid.org
28043831,"EEI ""lope de vega""",eei.lopedevega.leganes@educa.madrid.org
28044094,"EEI ""loreto""",eei.loreto.torrejondeardoz@educa.madrid.org
28043961,"EEI ""los abetos""",eei.losabetos.parla@educa.madrid.org
28048981,"EEI ""los alamos""",eei.losalamos.pozuelodealarcon@educa.madrid.org
28057532,"EEI ""los almendros""",eei.losalmendros.villalbilla@educa.madrid.org
28043430,"EEI ""los angeles""",eei.losangeles.madrid@educa.madrid.org
28047502,"EEI ""los arcos""",eei.losarcos.colmenarviejo@educa.madrid.org
28049092,"EEI ""los cedros""",eei.loscedros.villanuevadelacanada@educa.madrid.org
28048208,"EEI ""los compañeros""",eei.loscompaneros.madrid@educa.madrid.org
28046960,"EEI ""los cuentos""",eei.loscuentos.alcala@educa.madrid.org
28043511,"EEI ""los delfines""",eei.losdelfines.madrid@educa.madrid.org
28044239,"EEI ""los enebros""",eei.losenebros.colmenarviejo@educa.madrid.org
28071905,"EEI ""los gavilanes""",eei.losgavilanes.madrid@educa.madrid.org
28043545,"EEI ""los girasoles""",eei.losgirasoles.madrid@educa.madrid.org
28047563,"EEI ""los gorriones""",eei.losgorriones.madrid@educa.madrid.org
28047711,"EEI ""los juncos""",eei.losjuncos.madrid@educa.madrid.org
28065322,"EEI ""los madroños""",eei.losmadronos.pozuelodealarcon@educa.madrid.org
28061675,"EEI ""los molinos""",eei.losmolinos.alcala@educa.madrid.org
28057453,"EEI ""los olivos""",eei.losolivos.valdemoro@educa.madrid.org
28058184,"EEI ""los paraisos""",eei.losparaisos.valdemoro@educa.madrid.org
28044151,"EEI ""los pingüinos""",eei.lospinguinos.alcorcon@educa.madrid.org
28044860,"EEI ""los pinos""",eei.lospinos.madrid@educa.madrid.org
28070196,"EEI ""los pinos de maeve""",eei.lospinosdemaeve.alcorcon@educa.madrid.org
28060658,"EEI ""los puertos""",eei.lospuertos.colmenarviejo@educa.madrid.org
28071875,"EEI ""los sobrinos del capitan grant""",eei.lossobrinosdelcapitangrant.madrid@educa.madrid.org
28068268,"EEI ""los tajetes""",eei.lostajetes.hoyodemanzanares@educa.madrid.org
28071012,"EEI ""los tilos""",eei.lostilos.guadarrama@educa.madrid.org
28043673,"EEI ""los titeres""",eei.lostiteres.madrid@educa.madrid.org
28066004,"EEI ""luis bello""",eei.luisbello.madrid@educa.madrid.org
28071899,"EEI ""luisa fernanda""",eei.luisafernanda.madrid@educa.madrid.org
28050628,"EEI ""luna lunera""",eei.lunalunera.rivas@educa.madrid.org
28044291,"EEI ""mafalda""",eei.mafalda.getafe@educa.madrid.org
28070214,"EEI ""mago de oz""",eei.magodeoz.alcorcon@educa.madrid.org
28047605,"EEI ""manantial""",eei.manantial.galapagar@educa.madrid.org
28057714,"EEI ""manzanares el real nº 1""",eei.numerouno.manzanares@educa.madrid.org
28065346,"EEI ""maria luisa gefaell""",eei.mluisagefaell.villaviciosa@educa.madrid.org
28044082,"EEI ""marionetas""",eei.marionetas.torrejondeardoz@educa.madrid.org
28065309,"EEI ""marta mata""",eei.martamata.getafe@educa.madrid.org
28047198,"EEI ""miraflores de la sierra""",cn.miraflores@educa.madrid.org
28071981,"EEI ""molinos de viento""",eei.molinosdeviento.madrid@educa.madrid.org
28047010,"EEI ""momo""",eei.momo.parla@educa.madrid.org
28044011,"EEI ""monte abantos""",eei.monteabantos.sanlorenzo@educa.madrid.org
28044185,"EEI ""municipal de arganda del rey""",eei.municipal.arganda@educa.madrid.org
28072417,"EEI ""nana de la cebolla""",eei.nanadelacebolla.rivas@educa.madrid.org
28073124,"EEI ""nanas""",eei.nanas.alcorcon@educa.madrid.org
28066314,"EEI ""nicolas guillen""",eei.nicolasguillen.casarrubuelos@educa.madrid.org
28043582,"EEI ""ori-ori""",eei.oriori.madrid@educa.madrid.org
28073215,"EEI ""osa mayor""",eei.osamayor.mostoles@educa.madrid.org
28066247,"EEI ""osa menor""",eei.osamenor.madrid@educa.madrid.org
28002713,"EEI ""padre gerardo gil""",eei.gerardogil.elescorial@educa.madrid.org
28067884,"EEI ""palmas palmitas""",eei.palmaspalmitas.madrid@educa.madrid.org
28058172,"EEI ""pandora""",eei.pandora.leganes@educa.madrid.org
28047617,"EEI ""parque coimbra""",eei.parquecoimbra.mostoles@educa.madrid.org
28047897,"EEI ""parque de hortaleza""",eei.parquehortaleza.madrid@educa.madrid.org
28049134,"EEI ""pasacalles""",eei.pasacalles.algete@educa.madrid.org
28065383,"EEI ""paso a pasito""",eei.pasoapasito.paracuellos@educa.madrid.org
28061663,"EEI ""patas arriba""",eei.patasarriba.rivas@educa.madrid.org
28079114,"EEI ""pensamiiento""",
28068372,"EEI ""petirrojo""",eei.petirrojo.torrejondelacalzada@educa.madrid.org
28047630,"EEI ""petirrojo""",eei.petirrojo.madrid@educa.madrid.org
28048658,"EEI ""pilocha""",eei.pilocha.mejorada@educa.madrid.org
28066028,"EEI ""pimpollitos""",eei.pimpollitos.pinto@educa.madrid.org
28066259,"EEI ""pinceladas""",eei.pinceladas.arganda@educa.madrid.org
28068116,"EEI ""pio pio""",eei.piopio.alcobendas@educa.madrid.org
28049146,"EEI ""piruetas""",eei.piruetas.madrid@educa.madrid.org
28047642,"EEI ""platero""",eei.platero.rivas@educa.madrid.org
28048646,"EEI ""platero y yo""",eei.platero.humanes@educa.madrid.org
28078997,"EEI ""poeta gloria fuertes""",eei.poetagloriafuertes.madrid@educa.madrid.org
28043995,"EEI ""polichinela""",eei.polichinela.sanfernando@educa.madrid.org
28046121,"EEI ""pozo del tio raimundo""",eei.tioraimundo.madrid@educa.madrid.org
28058925,"EEI ""prado alto""",eei.pradoalto.brunete@educa.madrid.org
28043624,"EEI ""pradolongo""",eei.pradolongo.madrid@educa.madrid.org
28074025,"EEI ""primeros pasos""",eei.primerospasos.leganes@educa.madrid.org
28044124,"EEI ""puerta de madrid""",eei.puertademadrid.alcala@educa.madrid.org
28043636,"EEI ""puerta del angel""",eei.puertadelangel.madrid@educa.madrid.org
28068311,"EEI ""rayuela""",eei.rayuela.madrid@educa.madrid.org
28047423,"EEI ""rayuela""",eei.rayuela.rivas@educa.madrid.org
28047678,"EEI ""retamar""",eei.retamar.madrid@educa.madrid.org
28043867,"EEI ""rincon infantil""",eei.rinconinfantil.leganes@educa.madrid.org
28065981,"EEI ""rio de alisos""",eei.riodealisos.guadalix@educa.madrid.org
28068293,"EEI ""rocio durcal""",eei.rociodurcal.madrid@educa.madrid.org
28068281,"EEI ""rocio jurado""",eei.rociojurado.madrid@educa.madrid.org
28060622,"EEI ""rodari""",eei.rodari.alcorcon@educa.madrid.org
28043651,"EEI ""roger de flor""",eei.rogerdeflor.madrid@educa.madrid.org
28047496,"EEI ""romanillos""",eei.romanillos.boadilla@educa.madrid.org
28047691,"EEI ""rosa""",eei.rosa.madrid@educa.madrid.org
28049080,"EEI ""rosa caramelo""",eei.rosacaramelo.leganes@educa.madrid.org
28057866,"EEI ""ruiz jimenez""",eei.ruizjimenez.madrid@educa.madrid.org
28079001,"EEI ""sabina""",
28043661,"EEI ""san fermin""",eei.sanfermin.madrid@educa.madrid.org
28071024,"EEI ""sanserito""",eei.sanserito.sansebastian@educa.madrid.org
28057726,"EEI ""santa cecilia""",eei.santacecilia.elmolar@educa.madrid.org
28070238,"EEI ""santa madre maravillas""",eei.santamadremaravillas.getafe@educa.madrid.org
28072326,"EEI ""santiago apostol""",eei.santiagoapostol.paracuellos@educa.madrid.org
28063003,"EEI ""shantala""",eei.shantala.madrid@educa.madrid.org
28067896,"EEI ""sol solito""",eei.solsolito.madrid@educa.madrid.org
28046194,"EEI ""soletes""",eei.soletes.paracuellos@educa.madrid.org
28070366,"EEI ""sueños""",eei.suenos.alcorcon@educa.madrid.org
28070251,"EEI ""tacataca""",eei.tacataca.majadahonda@educa.madrid.org
28057428,"EEI ""takara""",eei.takara.boadilla@educa.madrid.org
28043879,"EEI ""talin""",eei.talin.majadahonda@educa.madrid.org
28057441,"EEI ""tamaral""",eei.tamaral.majadahonda@educa.madrid.org
28063064,"EEI ""tarabilla""",eei.tarabilla.madrid@educa.madrid.org
28066260,"EEI ""tesoros""",eei.tesoros.arganda@educa.madrid.org
28047277,"EEI ""torrelaguna""",cn.torrelaguna@educa.madrid.org
28064093,"EEI ""tragaluz""",eei.tragaluz.pinto@educa.madrid.org
28044021,"EEI ""trebol""",eei.trebol.sanlorenzo@educa.madrid.org
28057465,"EEI ""trebol""",eei.trebol.pinto@educa.madrid.org
28066016,"EEI ""trebole""",eei.trebole.navalcarnero@educa.madrid.org
28048592,"EEI ""triangulo""",eei.triangulo.pinto@educa.madrid.org
28058196,"EEI ""trinidad ruiz""",eei.trinidadruiz.sanagustin@educa.madrid.org
28047708,"EEI ""tris-tras""",eei.tristras.parla@educa.madrid.org
28049021,"EEI ""valdelaparra""",eei.valdelaparra.alcobendas@educa.madrid.org
28049201,"EEI ""valle de luz""",eei.valledeluz.losmolinos@educa.madrid.org
28044343,"EEI ""valle de ordesa""",eei.valledeordesa.fuenlabrada@educa.madrid.org
28043703,"EEI ""valle de oro""",eei.valledeoro.madrid@educa.madrid.org
28043715,"EEI ""vallehermoso""",eei.vallehermoso.madrid@educa.madrid.org
28065991,"EEI ""veo-veo""",eei.veoveo.madrid@educa.madrid.org
28072302,"EEI ""victoria kamhi""",eei.victoriakamhi.aranjuez@educa.madrid.org
28043971,"EEI ""virgen de la asuncion""",eei.asuncion.pinto@educa.madrid.org
28064101,"EEI ""virgen del soto""",eei.virgendelsoto.villanuevadelpardillo@educa.madrid.org
28043727,"EEI ""zaleo""",eei.zaleo.madrid@educa.madrid.org
28049079,"EEI ""zarabanda""",eei.zarabanda.parla@educa.madrid.org
28043739,"EEI ""zofio""",eei.zofio.madrid@educa.madrid.org
28056382,"ZNAS.CN. ""capital-1, ntra. sra. de la fuencisla""",zcn.capital1.madrid@educa.madrid.org
28057416,"ZNAS.CN. ""capital-3, san miguel""",zcn.sanmiguel.madrid@educa.madrid.org
28056242,"ZNAS.CN. ""este-1, villarejo de salvanes""",zcn.villarejo@educa.madrid.org
28062680,"ZNAS.CN. ""este-10, tielmes""",zcn.tielmes@educa.madrid.org
28068797,"ZNAS.CN. ""este-11, campo real""",zcn.camporeal@educa.madrid.org
28056254,"ZNAS.CN. ""este-2, san martin de la vega""",zcn.sanmartindelavega@educa.madrid.org
28056266,"ZNAS.CN. ""este-3, arganda""",zcn.arganda@educa.madrid.org
28056291,"ZNAS.CN. ""este-4, villar del olmo""",zcn.villardelolmo@educa.madrid.org
28056278,"ZNAS.CN. ""este-5, alcala de henares""",zcn.alcala@educa.madrid.org
28076575,"ZNAS.CN. ""este-6,  santos de la humosa""",zcn.santosdelahumosa@educa.madrid.org
28056308,"ZNAS.CN. ""este-7, san fernando de henares""",zcn.sanfernando@educa.madrid.org
28056311,"ZNAS.CN. ""este-8, orusco""",zcn.orusco@educa.madrid.org
28057829,"ZNAS.CN. ""este-9, torres de la alameda""",zcn.torres@educa.madrid.org
28056151,"ZNAS.CN. ""norte-1, colmenar viejo""",zcn.colmenarviejo@educa.madrid.org
28062679,"ZNAS.CN. ""norte-10, valdeolmos-alalpardo""",zcn.valdeolmos@educa.madrid.org
28056175,"ZNAS.CN. ""norte-3, buitrago de lozoya""",zcn.buitrago@educa.madrid.org
28056187,"ZNAS.CN. ""norte-4, venturada""",zcn.venturada@educa.madrid.org
