CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS,,,,,,,,,,,
AREA TERRITORIAL,CODIGO CENTRO,EMAIL,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,TITULARIDAD
Madrid-Sur,28070202,eei.campanilla.alcorcon@educa.madrid.org,EEI,CAMPANILLA,Calle De Copenhague,,,,,,
Madrid-Sur,28068219,eei.campanilla.arroyomolinos@educa.madrid.org,EEI,CAMPANILLA,Calle Miguel De Cervantes,,,,,,
Madrid-Sur,28049195,eei.cancionero.getafe@educa.madrid.org,EEI,CANCIONERO,Calle Emilia Pardo Bazán,,,,,,
Madrid-Norte,28044252,eei.cantinela.trescantos@educa.madrid.org,EEI,CANTINELA,Sector Descubridores,,,,,,
Madrid-Sur,28068086,eei.caracolcolcol.ciempozuelos@educa.madrid.org,EEI,CARACOL COL COL,Calle Tablas De Daimiel,,,,,,
Madrid-Norte,28058147,eei.carantonas.cobena@educa.madrid.org,EEI,CARANTOÑAS,Calle Dalia,,,,,,
Madrid-Capital,28043491,eei.carricoche.madrid@educa.madrid.org,EEI,CARRICOCHE,Calle De Moreja,,,,,,
Madrid-Este,28044136,eei.carrusel.alcala@educa.madrid.org,EEI,CARRUSEL,Calle Violeta,,,,,,
Madrid-Sur,28044288,eei.casadelosninos.getafe@educa.madrid.org,EEI,CASA DE LOS NIÑOS,Avenida De Los Ángeles,,,,,,
Madrid-Norte,28064305,eei.cascabeles.alcobendas@educa.madrid.org,EEI,CASCABELES,Calle Federico Moreno Torroba,,,,,,
Madrid-Sur,28046947,eei.cascanueces.getafe@educa.madrid.org,EEI,CASCANUECES,Calle De Los Arquitectos,,,,,,
Madrid-Sur,28064123,eei.casiopea.getafe@educa.madrid.org,EEI,CASIOPEA,Calle Toledo,,,,,,
Madrid-Este,28044203,eei.charlierivel.coslada@educa.madrid.org,EEI,CHARLIE RIVEL,Calle De Velázquez,,,,,,
Madrid-Capital,28043508,eei.chavalitos.madrid@educa.madrid.org,EEI,CHAVALITOS,Calle De Pradales,,,,,,
Madrid-Capital,28070664,eei.cieloazul.madrid@educa.madrid.org,EEI,CIELO AZUL,Bulevar De Indalecio Prieto,,,,,,
Madrid-Capital,28068050,eei.cincolobitos.madrid@educa.madrid.org,EEI,CINCO LOBITOS,Calle De Forsitia,,,,,,
Madrid-Sur,28043909,eei.colores.mostoles@educa.madrid.org,EEI,COLORES,Calle Coronel De Palma,,,,,,
Madrid-Capital,28047587,eei.colorincolorado.madrid@educa.madrid.org,EEI,COLORIN COLORADO,Calle Del Conde De Torralba,,,,,,
Madrid-Oeste,28058202,eei.cuentacuentos.colladovillalba@educa.madrid.org,EEI,CUENTACUENTOS,Calle Fuente Del Álamo,,,,,,
Madrid-Este,28044215,eei.diamela.coslada@educa.madrid.org,EEI,DIAMELA,Calle Colombia,,,,,,
Madrid-Este,28067860,eei.donmeliton.alcala@educa.madrid.org,EEI,DON MELITON,Calle Arturo Soria,,,,,,
Madrid-Oeste,28072338,eei.donpimpon.galapagar@educa.madrid.org,EEI,DON PIMPON,Calle De Murillo,,,,,,
Madrid-Capital,28072028,eei.donafrancisquita.madrid@educa.madrid.org,EEI,DOÑA FRANCISQUITA,Calle De Cambados,,,,,,
Madrid-Sur,28061687,eei.dulcinea.leganes@educa.madrid.org,EEI,DULCINEA,Calle Moraña,,,,,,
Madrid-Capital,28047472,eei.elalba.madrid@educa.madrid.org,EEI,EL ALBA,Calle De Toledo,,,,,,
Madrid-Norte,28068232,eei.elalmendro.colmenarviejo@educa.madrid.org,EEI,EL ALMENDRO,Calle De Juan Gris,,,,,,
Madrid-Este,28070263,eei.elarlequin.rivas@educa.madrid.org,EEI,EL ARLEQUIN,Avenida De José Hierro,,,,,,
Madrid-Capital,28072065,eei.elbarberillodelavapies.madrid@educa.madrid.org,EEI,EL BARBERILLO DE LAVAPIES,Calle Del Granito,,,,,,
Madrid-Capital,28071851,eei.elbateo.madrid@educa.madrid.org,EEI,EL BATEO,Calle De Pinos De Osuna,,,,,,
Madrid-Capital,28043466,eei.elbelen.madrid@educa.madrid.org,EEI,EL BELEN,Calle De Braille,,,,,,
Madrid-Sur,28070937,eei.elbonsai.fuenlabrada@educa.madrid.org,EEI,EL BONSAI,Calle De Ernest Lluch,,,,,,
Madrid-Sur,28064299,eei.elbosque.humanes@educa.madrid.org,EEI,EL BOSQUE,Calle De La Encina,,,,,,
Madrid-Capital,28063076,eei.elbosque.madrid@educa.madrid.org,EEI,EL BOSQUE,Calle De Delicias,,,,,,
Madrid-Capital,28043481,eei.elcarmen.madrid@educa.madrid.org,EEI,EL CARMEN,Calle De Vélez Rubio,,,,,,
Madrid-Este,28048142,eei.elcascanueces.velilla@educa.madrid.org,EEI,EL CASCANUECES,Calle De Paz Camacho,,,,,,
Madrid-Capital,28071887,eei.elcaserio.madrid@educa.madrid.org,EEI,EL CASERIO,Calle De María Teresa Robledo,,,,,,
Madrid-Sur,28068062,eei.elcocheritolere.fuenlabrada@educa.madrid.org,EEI,EL COCHERITO LERÉ,Calle De Fuentevaqueros,,,,,,
Madrid-Sur,28072387,eei.elcolumpio.mostoles@educa.madrid.org,EEI,EL COLUMPIO,Paseo De Arroyomolinos,,,,,,
Madrid-Este,28070111,eei.elcolumpio.loeches@educa.madrid.org,EEI,EL COLUMPIO,Calle Molino,,,,,,
Madrid-Sur,28067872,eei.elcorrodelapatata.alcorcon@educa.madrid.org,EEI,EL CORRO DE LA PATATA,Calle Del Cabo San Vicente,,,,,,
Madrid-Sur,28047538,eei.elcuco.leganes@educa.madrid.org,EEI,EL CUCO,Calle Maestro,,,,,,
Madrid-Norte,28046972,eei.elcuquillo.alcobendas@educa.madrid.org,EEI,EL CUQUILLO,Paseo De La Chopera,,,,,,
Madrid-Capital,28057696,eei.elduende.madrid@educa.madrid.org,EEI,EL DUENDE,Plaza Del Dos De Mayo,,,,,,
Madrid-Capital,28043533,eei.elencinar.madrid@educa.madrid.org,EEI,EL ENCINAR,Calle Del Estrecho De Mesina,,,,,,
Madrid-Sur,28047447,eei.elescondite.fuenlabrada@educa.madrid.org,EEI,EL ESCONDITE,Calle De Las Panaderas,,,,,,
Madrid-Capital,28048622,eei.elespinillo.madrid@educa.madrid.org,EEI,EL ESPINILLO,Pasaje De La Avenencia,,,,,,
Madrid-Norte,28064317,eei.elfaro.sansebastian@educa.madrid.org,EEI,EL FARO,Avenida De Talavera De La Reina,,,,,,
Madrid-Capital,28079023,eei.elfresno.madrid@educa.madrid.org,EEI,EL FRESNO,Calle María Casares,,,,,,
Madrid-Este,28073392,eei.elgatoconbotas.torrejondeardoz@educa.madrid.org,EEI,EL GATO CON BOTAS,Calle Antonio Solís,,,,,,
Madrid-Sur,28047009,eei.eljuglar.mostoles@educa.madrid.org,EEI,EL JUGLAR,Calle De Alonso Cano,,,,,,
Madrid-Sur,28043776,eei.ellago.fuenlabrada@educa.madrid.org,EEI,EL LAGO,Calle De Zaragoza,,,,,,
Madrid-Sur,28068335,eei.ellimonero.parla@educa.madrid.org,EEI,EL LIMONERO,Calle Estrella Polar,,,,,,
Madrid-Capital,28047599,eei.elliron.madrid@educa.madrid.org,EEI,EL LIRON,Calle Del Pico De Los Artilleros,,,,,,
Madrid-Capital,28043569,eei.elmadronal.madrid@educa.madrid.org,EEI,EL MADROÑAL,Calle De José Paulete,,,,,,
Madrid-Capital,28078951,eei.elmamut.madrid@educa.madrid.org,EEI,EL MAMUT,Calle De Los Ganados Del Salobral,,,,,,
Madrid-Capital,28067677,eei.numeroseis-latina.madrid@educa.madrid.org,EEI,EL MANANTIAL,Calle De Múñico,,,,,,
Madrid-Sur,28068347,eei.elmanzano.parla@educa.madrid.org,EEI,EL MANZANO,Calle Planeta Tierra,,,,,,
Madrid-Sur,28048580,eei.elmolino.fuenlabrada@educa.madrid.org,EEI,EL MOLINO,Avenida De Europa,,,,,,
Madrid-Sur,28068323,eei.elnaranjo.parla@educa.madrid.org,EEI,EL NARANJO,Calle Lago Blanco,,,,,,
Madrid-Sur,28047022,#N/A,EEI,EL NARANJO,Paseo Riazor,,,,,,
Madrid-Oeste,28064275,eei.elnogal.alpedrete@educa.madrid.org,EEI,EL NOGAL,Calle De Santiago Ramón Y Cajal,,,,,,
Madrid-Sur,28065334,eei.elolivar.sanmartindevaldeiglesias@educa.madrid.org,EEI,EL OLIVAR,Calle Las Afiladeras,,,,,,
Madrid-Capital,28073264,#N/A,EEI,EL OLIVAR,Calle Del Olivar,,,,,,
Madrid-Norte,28044240,eei.elolivo.trescantos@educa.madrid.org,EEI,EL OLIVO,Avenida De La Vega,,,,,,
Madrid-Sur,28043910,eei.elpequenosauce.mostoles@educa.madrid.org,EEI,EL PEQUEÑO SAUCE,Calle Del Pintor Murillo,,,,,,
Madrid-Capital,28043600,eei.elpilar.madrid@educa.madrid.org,EEI,EL PILAR,Calle De Siena,,,,,,
Madrid-Norte,28048014,eei.elpocito.pedrezuela@educa.madrid.org,EEI,EL POCITO,Calle Cultura,,,,,,
Madrid-Sur,28043821,eei.elprado.getafe@educa.madrid.org,EEI,EL PRADO,Calle Murillo,,,,,,
Madrid-Norte,28068773,eei.elprincipito.algete@educa.madrid.org,EEI,EL PRINCIPITO,Calle Virtudes,,,,,,
Madrid-Sur,28060634,eei.numerodos.aranjuez@educa.madrid.org,EEI,EL REGAJAL,Calle La Imago,,,,,,
Madrid-Sur,28068074,eei.elroble.valdemoro@educa.madrid.org,EEI,EL ROBLE,Glorieta De Lituania,,,,,,
Madrid-Capital,28043806,eei.elrocio.madrid@educa.madrid.org,EEI,EL ROCIO,Carretera De Carabanchel A Villaverde,,,,,,
Madrid-Sur,28048609,eei.elromancero.leganes@educa.madrid.org,EEI,EL ROMANCERO,Calle Dinamarca,,,,,,
Madrid-Norte,28044264,eei.elromeral.trescantos@educa.madrid.org,EEI,EL ROMERAL,Calle Sector Islas,,,,,,
Madrid-Sur,28073288,eei.elsacapuntas.fuenlabrada@educa.madrid.org,EEI,EL SACAPUNTAS,Calle De Las Ciencias,,,,,,
Madrid-Capital,28068049,eei.elsenordongato.madrid@educa.madrid.org,EEI,EL SEÑOR DON GATO,Calle De Los Poetas,,,,,,
Madrid-Capital,28044355,eei.elsol.madrid@educa.madrid.org,EEI,EL SOL,Calle De Enrique Jardiel Poncela,,,,,,
Madrid-Sur,28043946,eei.elsoto.mostoles@educa.madrid.org,EEI,EL SOTO,Avenida Iker Casillas,,,,,,
Madrid-Capital,28047915,eei.elsur.madrid@educa.madrid.org,EEI,EL SUR,Calle De Cifuentes,,,,,,
Madrid-Este,28044008,eei.eltambor.sanfernando@educa.madrid.org,EEI,EL TAMBOR,Calle Gustavo Adolfo Bécquer,,,,,,
Madrid-Oeste,28043818,eei.eltomillar.torrelodones@educa.madrid.org,EEI,EL TOMILLAR,Calle Carretera Torrelodones,,,,,,
Madrid-Capital,28070354,eei.eltrebol.madrid@educa.madrid.org,EEI,EL TREBOL,Calle De Tristana,,,,,,
Madrid-Capital,28079102,,EEI,EL TREN DE ARGANDA,Plaza Del Doctor Laguna,,,,,,
Madrid-Capital,28068271,eei.trendelafresa.madrid@educa.madrid.org,EEI,EL TREN DE LA FRESA,Calle De Ramírez De Prado,,,,,,
Madrid-Capital,28043685,eei.elvalle.madrid@educa.madrid.org,EEI,EL VALLE,Avenida Del Valle,,,,,,
Madrid-Capital,28079011,eei.elenafortun.madrid@educa.madrid.org,EEI,ELENA FORTUN,Avenida De Monasterio De Silos,,,,,,
Madrid-Capital,28080116,,EEI,ESCUELA INFANTIL BASE MILITAR EL GOLOSO,Carretera M-607 Colmenar Viejo,,,,,,
Madrid-Capital,28080062,,EEI,ESCUELA INFANTIL DELEGACION DE ECONOMIA Y HACIENDA,Calle De La Poeta Ángela Figuera,,,,,,
Madrid-Capital,28073379,eei.escuelasdesananton.madrid@educa.madrid.org,EEI,ESCUELAS DE SAN ANTON,Calle De La Farmacia,,,,,,
Madrid-Capital,28046212,eei.extremadura.madrid@educa.madrid.org,EEI,EXTREMADURA,Calle De La Esfinge,,,,,,
Madrid-Sur,28065358,eei.fabulasyleyendas.mostoles@educa.madrid.org,EEI,FABULAS Y LEYENDAS,Calle Nueva York,,,,,,
Madrid-Este,28046081,eei.fantasia.sanmartindelavega@educa.madrid.org,EEI,FANTASIA,Calle Rosalía De Castro,,,,,,
Madrid-Capital,28071942,eei.fernandoelcatolico.madrid@educa.madrid.org,EEI,FERNANDO EL CATOLICO,Calle De Fernando El Católico,,,,,,
Madrid-Sur,28043855,eei.fortuna.leganes@educa.madrid.org,EEI,FORTUNA,Calle Faro,,,,,,
Madrid-Norte,28072341,eei.fuentelucha.alcobendas@educa.madrid.org,EEI,FUENTELUCHA,Avenida De La Ilusión,,,,,,
Madrid-Capital,28062631,eei.gaia.madrid@educa.madrid.org,EEI,GAIA,Calle De Mérida,,,,,,
Madrid-Este,28047745,eei.galatea.alcala@educa.madrid.org,EEI,GALATEA,Calle Fuente Del Sol,,,,,,
Madrid-Sur,28047629,eei.gallipatos.fuenlabrada@educa.madrid.org,EEI,GALLIPATOS,Avenida De Nuevo Versalles,,,,,,
Madrid-Capital,28071978,eei.gigantesycabezudos.madrid@educa.madrid.org,EEI,GIGANTES Y CABEZUDOS,Calle De Rafael Bergamín,,,,,,
Madrid-Sur,28048634,eei.gloriafuertes.alcorcon@educa.madrid.org,EEI,GLORIA FUERTES,Calle De Las Islas Cíes,,,,,,
Madrid-Norte,28049110,eei.gloriafuertes.soto@educa.madrid.org,EEI,GLORIA FUERTES,Avenida De España,,,,,,
Madrid-Este,28048610,#N/A,EEI,GLORIA FUERTES,Calle León Felipe,,,,,,
Madrid-Este,28047435,eei.grimm.rivas@educa.madrid.org,EEI,GRIMM,Calle Aloe,,,,,,
Madrid-Capital,28047654,eei.hiedra.madrid@educa.madrid.org,EEI,HIEDRA,Calle De Amposta,,,,,,
Madrid-Sur,28064111,eei.jacaranda.valdemoro@educa.madrid.org,EEI,JACARANDA,Calle Libertad,,,,,,
Madrid-Sur,28044173,eei.jardinesdearanjuez.aranjuez@educa.madrid.org,EEI,JARDINES DE ARANJUEZ,Calle Del Primero De Mayo,,,,,,
Madrid-Sur,28043843,eei.jeromin.leganes@educa.madrid.org,EEI,JEROMIN,Calle Río Gallego,,,,,,
Madrid-Sur,28043934,eei.joanmiro.mostoles@educa.madrid.org,EEI,JOAN MIRO,Calle París,,,,,,
Madrid-Sur,28072405,eei.juanfarias.villaviciosa@educa.madrid.org,EEI,JUAN FARIAS,Calle Toledo,,,,,,
Madrid-Oeste,28066193,eei.juanramonjimenez.lasrozas@educa.madrid.org,EEI,JUAN RAMON JIMENEZ,Calle Ramón Y Cajal,,,,,,
Madrid-Este,28068360,eei.juansinmiedo.torrejondeardoz@educa.madrid.org,EEI,JUAN SIN MIEDO,Avenida Constitución,,,,,,
Madrid-Sur,28070342,eei.juanallandres.sevilla@educa.madrid.org,EEI,JUANA LLANDRES,Calle San Isidro,,,,,,
Madrid-Sur,28074013,eei.koala.leganes@educa.madrid.org,EEI,KOALA,Avenida De María Guerrero,,,,,,
Madrid-Sur,28058159,eei.numeroocho.fuenlabrada@educa.madrid.org,EEI,LA ALAMEDA,Calle De Concepción Arenal,,,,,,
Madrid-Capital,28063015,eei.laaldea.madrid@educa.madrid.org,EEI,LA ALDEA,Calle Principal,,,,,,
Madrid-Capital,28072031,eei.laalegriadelahuerta.madrid@educa.madrid.org,EEI,LA ALEGRIA DE LA HUERTA,Calle De Helsinki,,,,,,
Madrid-Capital,28043429,eei.laalmudena.madrid@educa.madrid.org,EEI,LA ALMUDENA,Calle De Motilla Del Palancar,,,,,,
Madrid-Capital,28078961,eei.laardilla.madrid@educa.madrid.org,EEI,LA ARDILLA,Calle Príncipe Carlos C/v Pintor Ignacio Zuluaga,Madrid,Hortaleza,-,-,-,Público
Madrid-Capital,28078973,eei.laboladecristal.madrid@educa.madrid.org,EEI,LA BOLA DE CRISTAL,Calle De Las Islas Bisagos,,,,,,
Madrid-Capital,28067689,eei.numerocuatro-tetuan.madrid@educa.madrid.org,EEI,LA BRISA,Calle Vía Límite,,,,,,
Madrid-Norte,28047071,cn.lacabrera@educa.madrid.org,EEI,LA CABRERA,Calle De Paraguay,,,,,,
Madrid-Este,28048762,cn.candelaria.ajalvir@educa.madrid.org,EEI,LA CANDELARIA,Calle Abedul,,,,,,
Madrid-Este,28044197,eei.lacanada.coslada@educa.madrid.org,EEI,LA CAÑADA,Avenida De Berlín,,,,,,
Madrid-Este,28046935,eei.lacanada.torrejondeardoz@educa.madrid.org,EEI,LA CAÑADA DE ARDOZ,Calle Cañada,,,,,,
Madrid-Capital,28043788,eei.lacaracola.madrid@educa.madrid.org,EEI,LA CARACOLA,Calle De Belorado,,,,,,
Madrid-Norte,28046984,eei.lachopera.alcobendas@educa.madrid.org,EEI,LA CHOPERA,Calle Del Pintor Velázquez,,,,,,
Madrid-Capital,28071841,eei.lachulapona.madrid@educa.madrid.org,EEI,LA CHULAPONA,Calle De Bahía De Palma,,,,,,
Madrid-Este,28070925,eei.lacigarraylahormiga.torrejondeardoz@educa.madrid.org,EEI,LA CIGARRA Y LA HORMIGA,Calle Telémaco,,,,,,
Madrid-Oeste,28046959,eei.laciguenamaria.lasrozas@educa.madrid.org,EEI,LA CIGÜEÑA MARIA,Avenida De España,,,,,,
Madrid-Capital,28047484,eei.lacolina.madrid@educa.madrid.org,EEI,LA COLINA,Calle De Nuestra Señora De Araceli,,,,,,
Madrid-Norte,28044033,eei.lacomba.sansebastian@educa.madrid.org,EEI,LA COMBA,Avenida De Aragón,,,,,,
Madrid-Sur,28070241,eei.lacomba.leganes@educa.madrid.org,EEI,LA COMBA,Calle Alcalde Pedro González González,,,,,,
Madrid-Este,28047526,eei.lacometa.alcala@educa.madrid.org,EEI,LA COMETA,Calle Córdoba,,,,,,
Madrid-Capital,28057431,eei.lacornisa.madrid@educa.madrid.org,EEI,LA CORNISA,Calle Del Cristo De La Victoria,,,,,,
Madrid-Capital,28071954,eei.lacortedelfaraon.madrid@educa.madrid.org,EEI,LA CORTE DEL FARAON,Calle De Chantada,,,,,,
Madrid-Oeste,28047541,eei.ladehesa.elescorial@educa.madrid.org,EEI,LA DEHESA,Calle De Alfonso Xiii,,,,,,
Madrid-Capital,28072041,eei.ladelmanojoderosas.madrid@educa.madrid.org,EEI,LA DEL MANOJO DE ROSAS,Calle De Ravena,,,,,,
Madrid-Capital,28071929,eei.ladelsotodelparral.madrid@educa.madrid.org,EEI,LA DEL SOTO DEL PARRAL,Calle De Las Trompas,,,,,,
Madrid-Oeste,28065310,eei.laencina.pozuelodealarcon@educa.madrid.org,EEI,LA ENCINA,Calle Volturno,,,,,,
Madrid-Este,28071152,eei.laespiga.ajalvir@educa.madrid.org,EEI,LA ESPIGA,Calle Soria,,,,,,
Madrid-Este,28064287,eei.laflautamagica.alcala@educa.madrid.org,EEI,LA FLAUTA MAGICA,Calle Gonzalo Torrente Ballester,,,,,,
Madrid-Norte,28046996,eei.laforesta.trescantos@educa.madrid.org,EEI,LA FORESTA,Sector Foresta,,,,,,
Madrid-Capital,28072016,eei.lagranvia.madrid@educa.madrid.org,EEI,LA GRAN VIA,Calle De Silvano,,,,,,
Madrid-Capital,28043557,eei.lajara.madrid@educa.madrid.org,EEI,LA JARA,Calle De Las Hijas De Jesús,,,,,,
Madrid-Sur,28058160,eei.lalinternamagica.fuenlabrada@educa.madrid.org,EEI,LA LINTERNA MAGICA,Calle De Alicante,,,,,,
Madrid-Norte,28048579,eei.lalocomotora.sansebastian@educa.madrid.org,EEI,LA LOCOMOTORA,Avenida De Pontevedra,,,,,,
Madrid-Capital,28043791,eei.laluna.madrid@educa.madrid.org,EEI,LA LUNA,Calle De Benimamet,,,,,,
Madrid-Sur,28047575,eei.laluna.getafe@educa.madrid.org,EEI,LA LUNA,Calle Campos De Castilla,,,,,,
Madrid-Oeste,28071565,eei.lamarazuela.lasrozas@educa.madrid.org,EEI,LA MARAZUELA,Calle De San Juan Bautista C/v Cerro De La Paloma,Rozas de Madrid,,,,,
Madrid-Capital,28079138,eei.lamelonera.madrid@educa.madrid.org,EEI,LA MELONERA,Calle De Eros,,,,,,
Madrid-Sur,28072077,eei.lamimosa.fuenlabrada@educa.madrid.org,EEI,LA MIMOSA,Calle De La Tía Javiera,,,,,,
Madrid-Sur,28047401,eei.lanoria.leganes@educa.madrid.org,EEI,LA NORIA,Avenida Francia,,,,,,
Madrid-Capital,28071000,eei.laoliva.madrid@educa.madrid.org,EEI,LA OLIVA,Calle De Gainza,,,,,,
Madrid-Capital,28043594,eei.lapaloma.madrid@educa.madrid.org,EEI,LA PALOMA,Calle De Agustín García Malla,,,,,,
Madrid-Capital,28044859,eei.municipallapaloma.madrid@educa.madrid.org,EEI,LA PALOMA,Calle De Tabernillas,,,,,,
Madrid-Capital,28071930,eei.lapatriachica.madrid@educa.madrid.org,EEI,LA PATRIA CHICA,Calle Del Patrimonio De La Humanidad,,,,,,
Madrid-Sur,28044227,eei.lapinata.fuenlabrada@educa.madrid.org,EEI,LA PIÑATA,Calle Costa Rica,,,,,,
Madrid-Capital,28043612,eei.laplazuela.madrid@educa.madrid.org,EEI,LA PLAZUELA,Calle De Los Mártires De La Ventilla,,,,,,
Madrid-Capital,28048661,eei.lapradera.madrid@educa.madrid.org,EEI,LA PRADERA,Calle De Antonio Vico,,,,,,
Madrid-Sur,28073586,eei.laprincesa.alcorcon@educa.madrid.org,EEI,LA PRINCESA,Calle Mediterráneo,,,,,,
Madrid-Este,28047666,eei.larampa.coslada@educa.madrid.org,EEI,LA RAMPA,Calle Chile,,,,,,
Madrid-Capital,28071863,eei.larevoltosa.madrid@educa.madrid.org,EEI,LA REVOLTOSA,Calle De José Antonio Rebolledo Y Palma,,,,,,
Madrid-Capital,28071966,eei.larosadelazafran.madrid@educa.madrid.org,EEI,LA ROSA DEL AZAFRAN,Calle De La Cueva De Montesinos,,,,,,
Madrid-Oeste,28068104,eei.latarara.majadahonda@educa.madrid.org,EEI,LA TARARA,Calle Manuel De Falla,,,,,,
Madrid-Oeste,28047514,eei.lavacaflora.colladovillalba@educa.madrid.org,EEI,LA VACA FLORA,Calle Los Madroños,,,,,,
Madrid-Capital,28071917,eei.laverbenadelapaloma.madrid@educa.madrid.org,EEI,LA VERBENA DE LA PALOMA,Calle Del Fuerte De Navidad,,,,,,
Madrid-Capital,28070640,eei.lasamapolas.madrid@educa.madrid.org,EEI,LAS AMAPOLAS,Calle Del Óbolo,,,,,,
Madrid-Oeste,28059462,eei.lasardillas.torrelodones@educa.madrid.org,EEI,LAS ARDILLAS,Calle Señora Sergia,,,,,,
Madrid-Capital,28070998,eei.lasazaleas.madrid@educa.madrid.org,EEI,LAS AZALEAS,Calle De Portugalete,,,,,,
Madrid-Este,28070299,eei.lasbrisas.belmonte@educa.madrid.org,EEI,LAS BRISAS,Avenida Conde De Belmonte,,,,,,
Madrid-Oeste,28059589,eei.lascasitas.colmenarejo@educa.madrid.org,EEI,LAS CASITAS,Calle Madrid,,,,,,
Madrid-Este,28043892,eei.lasciguenas.mejorada@educa.madrid.org,EEI,LAS CIGÜEÑAS,Calle De Daoiz Y Velarde,,,,,,
Madrid-Sur,28072363,#N/A,EEI,LAS CIGÜEÑAS,Calle De Lima,,,,,,
Madrid-Norte,28044045,eei.lascumbres.sansebastian@educa.madrid.org,EEI,LAS CUMBRES,Avenida De Andalucía,,,,,,
Madrid-Sur,28065978,eei.lasflores.alcorcon@educa.madrid.org,EEI,LAS FLORES,Calle Los Nardos,,,,,,
Madrid-Sur,28073847,eei.lasfloresdelafortuna.leganes@educa.madrid.org,EEI,LAS FLORES DE LA FORTUNA,Calle Oporto,,,,,,
Madrid-Sur,28072284,eei.lasgolondrinas.grinon@educa.madrid.org,EEI,LAS GOLONDRINAS,Calle Cuesta De Cazadores,,,,,,
Madrid-Capital,28072053,eei.lasleandras.madrid@educa.madrid.org,EEI,LAS LEANDRAS,Carretera Acceso A Estación De O'donnell C/v A Deyanira,,,,,,
Madrid-Capital,28043570,eei.lasmaravillas.madrid@educa.madrid.org,EEI,LAS MARAVILLAS,Calle De Anselmo Lorenzo,,,,,,
